CustomerID,Name,Age,Gender,Country,SignupDate,LastPurchase,Product
1,Allison Allen,56,Female,Australia,24/02/2023,29/09/2024,Electronics
2,Brenda Davis,69,Female,Germany,16/09/2017,12/05/2023,Sports
3,Nicole Johnson,46,Male,Canada,14/09/2018,29/04/2021,Sports
4,Denise Rivera,32,Female,Germany,16/05/2023,07/07/2023,Sports
5,Crystal Morales,60,Female,France,03/02/2019,12/09/2022,Beauty
6,Dana Moran,25,Female,France,27/12/2022,06/07/2024,Sports
7,Craig Leonard,38,Male,France,04/11/2019,23/01/2021,Clothing
8,Marc Torres,56,Male,India,16/07/2021,04/07/2022,Books
9,Kaitlyn Miller MD,36,Male,India,24/12/2022,18/09/2023,Books
10,Stacey Rowe DVM,40,Female,USA,15/10/2018,24/07/2020,Beauty
11,Bill Contreras,28,Female,India,20/05/2018,13/07/2022,Clothing
12,Rodney King,28,Female,Brazil,23/07/2020,28/03/2023,Home & Kitchen
13,Jeffrey Richardson,,Male,Canada,18/12/2015,19/06/2018,Home & Kitchen
14,Lydia Knight,70,Female,Australia,11/03/2019,04/03/2024,Sports
15,Joseph Camacho,53,Male,Australia,11/02/2019,21/02/2021,Electronics
16,Jerry Schroeder,57,Male,USA,19/06/2017,10/02/2019,Home & Kitchen
17,Raymond Lynch,41,Male,India,21/11/2019,19/08/2021,Electronics
18,Thomas Estes,20,Female,Brazil,05/10/2016,02/06/2020,Books
19,Wendy Todd,39,Male,Germany,22/04/2016,08/04/2023,Electronics
20,Tanya Brown,70,Female,USA,06/08/2020,15/12/2021,Books
21,Thomas Cooper,19,Female,Brazil,13/01/2021,03/06/2023,Clothing
22,Jeffrey Lopez,41,Male,Germany,01/07/2022,17/05/2024,Clothing
23,Scott Bennett,61,Female,Brazil,26/03/2017,17/06/2020,Beauty
24,Donald Allen,47,Male,Germany,19/07/2019,20/10/2021,Beauty
25,Bryan Schneider,55,Male,UK,15/02/2020,25/03/2022,Sports
26,Brian Williams,19,Male,Brazil,05/02/2024,09/06/2024,Home & Kitchen
27,Lori Phillips,38,Male,Australia,22/02/2024,24/08/2024,Sports
28,Samuel Stephenson,50,Female,France,18/10/2021,06/09/2024,Books
29,James Lawson,29,Male,India,07/04/2019,03/08/2024,Sports
30,Justin Hawkins,39,Female,Germany,12/04/2017,30/05/2020,Electronics
31,Joseph Romero,61,Female,UK,04/10/2017,07/06/2018,Books
32,Monica Diaz,42,Female,,08/06/2017,27/11/2018,Beauty
33,Jennifer Vargas,66,Female,Australia,24/09/2024,29/09/2024,Clothing
34,Betty Miller,44,Female,France,27/04/2021,30/08/2023,Beauty
35,Mercedes Lyons,59,Male,Germany,04/01/2016,17/06/2021,Home & Kitchen
36,Donald Yates,45,Male,Brazil,14/09/2019,30/06/2020,Books
37,Victoria Foster,33,Female,Brazil,25/12/2020,30/06/2022,Books
38,Mark Decker,32,Female,Germany,26/10/2016,23/07/2022,Electronics
39,Daniel Cook,64,Male,USA,26/01/2021,22/11/2022,Home & Kitchen
40,Ashley Edwards,68,Female,USA,25/06/2020,17/11/2022,Clothing
41,Michael Jones,61,Male,Australia,25/03/2023,28/02/2024,Books
42,Melissa Macias,69,Female,France,06/04/2022,03/05/2024,Books
43,Howard Lambert,20,Male,,22/04/2024,05/09/2024,Electronics
44,Dana Jackson,54,Male,Australia,08/06/2022,07/02/2024,Sports
45,Stephen Larson,68,Male,Australia,17/07/2024,21/08/2024,Clothing
46,Kathryn Davis,24,Female,Canada,02/04/2023,02/01/2024,Beauty
47,Lauren Taylor,38,Female,Brazil,20/11/2017,19/10/2020,Home & Kitchen
48,Cathy Knox,26,Male,India,29/10/2017,07/09/2020,Books
49,Daniel Cross,56,Female,Brazil,08/12/2017,13/01/2021,Books
50,Alexandria Dickson,35,Male,USA,16/11/2016,11/08/2017,Beauty
51,Charles Williams,21,Female,France,24/10/2021,12/08/2023,Clothing
52,Samantha Jarvis,42,Male,Brazil,21/05/2021,03/07/2024,Sports
53,Rachel Williams,31,Male,Germany,25/06/2020,03/07/2023,Books
54,Zachary Gonzalez,67,Female,Australia,21/04/2020,20/05/2024,Clothing
55,Karen Price,26,Other,Germany,11/06/2020,27/02/2022,Beauty
56,Travis Weaver,43,Female,Canada,03/05/2023,27/08/2024,Electronics
57,Susan Combs,70,Female,France,21/05/2022,03/04/2024,Sports
58,Judith Johnson,19,Female,Australia,24/12/2022,24/04/2023,Home & Kitchen
59,Desiree Lewis,37,Male,Germany,12/11/2019,18/11/2021,Books
60,Dustin Hill,45,Other,USA,17/12/2021,19/06/2022,Clothing
61,Brian Conrad,64,Female,India,14/10/2018,17/05/2021,Electronics
62,Rachel Baker,24,Female,Canada,07/01/2016,14/03/2019,Home & Kitchen
63,Vincent King,61,Female,France,10/04/2021,18/05/2022,Clothing
64,Meghan Peterson,25,Female,Canada,17/09/2020,04/08/2021,Clothing
65,Kendra Clark,64,Female,USA,08/01/2022,28/03/2023,Home & Kitchen
66,Amber Waller,52,Male,France,11/03/2023,04/09/2024,Electronics
67,James Munoz,31,Female,Canada,14/11/2024,19/11/2024,Beauty
68,Anthony Carlson,34,Male,UK,07/10/2021,12/12/2021,Electronics
69,Douglas Abbott,53,Other,USA,11/10/2022,23/07/2023,Sports
70,Mrs. Lydia Clayton DDS,67,Female,USA,13/08/2022,27/06/2023,Books
71,John Clark,57,Male,USA,30/10/2018,20/02/2021,Home & Kitchen
72,Misty Moore,21,Female,UK,12/03/2021,03/02/2024,Beauty
73,Alexis Reynolds,19,Female,UK,10/08/2023,03/06/2024,Home & Kitchen
74,John Smith,23,Female,Germany,19/08/2016,11/11/2022,Home & Kitchen
75,Stephanie Lane,59,Female,Australia,21/01/2020,26/11/2021,Electronics
76,David Smith,21,Male,India,06/01/2016,30/03/2017,Books
77,Matthew Richardson,46,Female,Canada,01/04/2017,16/02/2019,Sports
78,Jacob Mckinney,35,Female,Germany,03/03/2023,06/12/2023,Clothing
79,Gabriela Raymond,43,Male,Canada,02/02/2016,06/03/2023,Clothing
80,Tom Hughes,61,Female,India,15/10/2017,13/10/2020,Home & Kitchen
81,Annette Suarez,51,Male,Australia,22/11/2016,12/07/2017,Books
82,Cassie Hall,27,Male,UK,27/10/2018,25/12/2023,Beauty
83,Kristin Lopez,53,Female,Australia,16/02/2023,20/01/2024,Electronics
84,Juan Moore,31,Female,UK,22/10/2018,12/10/2020,Books
85,Christopher Clay,48,Male,India,30/08/2020,21/08/2022,Books
86,Richard Flores,65,Female,Australia,07/06/2023,05/12/2023,Electronics
87,Cory Anderson,32,Male,Germany,17/04/2021,25/01/2024,Home & Kitchen
88,Lori Sloan,25,Male,France,26/12/2018,27/09/2024,Books
89,Marissa Patton,31,Male,Germany,27/04/2021,31/10/2022,Clothing
90,Jennifer Levy,40,Male,Canada,03/08/2023,13/06/2024,Electronics
91,Steven Moody,57,Male,Germany,20/10/2016,06/09/2017,Beauty
92,Nicole Christian,38,Female,India,13/12/2015,02/10/2022,Sports
